Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Defector,3.2543148148148155,0.04049049049049049,18.0,0.04804804804804805,0.017492492492492493,0.022997997997998,0.4070820820820821,0.5524274274274275,0.07064349759994978,0.04980625901531715,0.041959980006550296,0.0386705542707732,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
1,Meta Winner: 17 players,3.164305555555556,0.09014014014014014,17.0,0.9579579579579579,0.04677177177177177,0.04336836836836836,0.38608608608608613,0.5237737737737738,0.37047076958243075,0.2575714108980756,0.06844362520766832,0.07263733056989816,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
2,Evolved HMM 5,3.1404537037037032,0.39224224224224224,13.0,0.963963963963964,0.28878878878878883,0.10345345345345343,0.3185435435435436,0.2892142142142142,0.80060215046788,0.3512415527406788,0.13663360796706364,0.1639943665229678,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
3,"DoubleCrosser: (D, D)",3.090370370370369,0.4420920920920921,12.0,0.954954954954955,0.3588338338338338,0.08325825825825826,0.2603353353353353,0.2975725725725725,0.797869604460415,0.6547535695765826,0.24613537785134001,0.0944770308472227,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
4,Evolved FSM 16,2.938509259259259,0.420995995995996,13.0,0.9624624624624625,0.24739739739739747,0.1735985985985986,0.3328078078078078,0.24619619619619623,0.531034788762706,0.43945872507248185,0.3507650615396328,0.31709066795373536,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
5,Suspicious Tit For Tat,2.5536851851851843,0.5276776776776777,11.0,0.04054054054054054,0.3255005005005005,0.20217717717717718,0.21466466466466466,0.25765765765765763,0.9598770731594145,0.0411970890974771,0.9594719602792419,0.04704103409588867,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
6,Tit For Tat,2.5529722222222215,0.5703953953953954,7.0,0.954954954954955,0.3648648648648649,0.2055305305305305,0.20222722722722725,0.22737737737737737,0.9630853481505454,0.04089684260719853,0.9640805084039642,0.041803802470820266,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
7,Soft Joss: 0.9,2.499037037037036,0.6208458458458459,4.0,0.9594594594594594,0.4032532532532532,0.2175925925925926,0.18078078078078078,0.1983733733733734,0.9567207265379586,0.13429054467738,0.9613620230076503,0.13751350295391906,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
8,Win-Stay Lose-Shift,2.4653981481481475,0.5401901901901902,8.0,0.960960960960961,0.30165165165165164,0.23853853853853849,0.22647647647647653,0.23333333333333334,0.9560876299161087,0.03995766090598263,0.042098389397103475,0.9593543732777875,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
9,Meta Mixer: 17 players,2.3752129629629626,0.47915415415415413,10.0,0.6426426426426426,0.23626126126126124,0.2428928928928929,0.2307807807807808,0.290065065065065,0.5464159459494434,0.4196501139292014,0.5419599079140854,0.41305227200932565,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
10,GTFT: 0.33,2.3511018518518507,0.7143643643643643,2.0,0.9654654654654654,0.4613613613613614,0.25300300300300305,0.135960960960961,0.14967467467467468,0.96083761737852,0.3359081702528324,0.9629257372572488,0.36108446558799073,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
11,Tit For 2 Tats,2.2831944444444434,0.776976976976977,1.0,0.963963963963964,0.541941941941942,0.235035035035035,0.0736986986986987,0.14932432432432433,0.9629671282735642,0.7368592995226937,0.9690860772399916,0.34954706839774263,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
12,Alternator,2.2399629629629625,0.503028028028028,8.0,0.9564564564564565,0.20497997997997996,0.298048048048048,0.24544544544544541,0.2515265265265265,0.039922714190722054,0.0381088920316233,0.9558294152271193,0.9622717796830599,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
13,Random: 0.5,2.2339259259259254,0.5015765765765766,9.0,0.4984984984984985,0.22550050050050055,0.27607607607607615,0.22522522522522523,0.27319819819819824,0.5013755828267159,0.49370161326657847,0.5034320180550185,0.5091556338548983,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
