Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.2490468409586057,0.3342716396903589,3.0,0.9433962264150944,0.2618254952361681,0.07865933981390337,0.3551909807431099,0.30432418420681867,0.7247834300945541,0.07274542751085826,0.1544933751314382,0.09801954680408016,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
1,Suspicious Tit For Tat,3.139926726279185,0.5479063165365508,4.0,0.07547169811320754,0.39695872587619757,0.15860606039707079,0.22744310355731215,0.21699211016941952,0.9185947390413346,0.07028743557939719,0.9193140095405633,0.09861828846470266,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
2,Evolved FSM 16,3.0609427609427606,0.5710700433493041,3.0,0.9119496855345912,0.40660576464838155,0.1639523810515857,0.26664084987655956,0.1628010044234732,0.6682887198476871,0.3587060532254307,0.5306806289167623,0.3440448891668404,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
3,Bully,2.897929261559696,0.4548171993561738,3.0,0.1069182389937107,0.17805068840892402,0.29054968111221935,0.3346382368601501,0.19676139361870645,0.08384903427498767,0.9246204691130222,0.09301410026913366,0.9336189325182785,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
4,GTFT: 0.33,2.7613759018759017,0.7396250263324204,1.0,0.8962264150943396,0.5066294601854134,0.2275164911969364,0.12841270063577773,0.13744134798187238,0.9242156388811144,0.36497001450630195,0.9174960258313805,0.3512826355967715,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
5,Tit For 2 Tats,2.7449114774114776,0.8083945933127816,0.0,0.9245283018867925,0.5942694068390341,0.20613501779164461,0.0919560606178412,0.10763951475148006,0.9159875331617292,0.6988233609155614,0.9084187511768983,0.4807240671998139,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
6,Cooperator,2.579953703703704,0.9154045867589788,0.0,0.9182389937106918,0.5824977539466552,0.3332990639696467,0.05443610304225623,0.029767079041441904,0.9205924265795488,0.915925920293916,0.9244869900485266,0.9402281746031745,3.44,0.02,4.44,2.98,0.08,0.07,53,72,prob_noisy,7,1
0,Defector,4.562146167743325,0.05260405772850868,17.0,0.05172413793103448,0.02443792091191749,0.028463988047978717,0.4046517217686379,0.5424463692714658,0.16602167182662536,0.11345889232886136,0.05378763812648712,0.057760221359466825,4.23,2.63,5.69,3.61,0.05,0.1,58,21,prob_noisy,20,2
1,Cycler DC,4.269412316613556,0.4672239779794067,10.0,0.0499092558983666,0.21095178000088025,0.25597382201664354,0.29637736436306744,0.23669703361940883,0.14599090513999471,0.1104912475480514,0.8970655200584048,0.864295852323123,4.23,2.63,5.69,3.61,0.05,0.1,58,21,prob_noisy,20,2
2,Suspicious Tit For Tat,4.260901484480431,0.4875051631557208,10.5,0.05898366606170599,0.31189422328309335,0.1729532689850665,0.23436977105164294,0.28078273668019715,0.9420605035898186,0.06449814466298155,0.9361337859665217,0.06982190774354276,4.23,2.63,5.69,3.61,0.05,0.1,58,21,prob_noisy,20,2
