Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.385370370370371,0.6837935174069628,1.0,1.0,0.6666666666666666,0.025176928520877564,0.1576025851593692,0.15055381965308656,1.0,0.0,0.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
1,Evolved FSM 16,3.32,0.7545626179987414,1.0,1.0,0.7157561361836896,0.07189692803311172,0.2038813273175902,0.008465608465608466,1.0,0.8406779661016949,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
2,Suspicious Tit For Tat,3.1794444444444445,0.6645882605891206,5.0,0.0,0.524023940260726,0.12058470808826845,0.16876380171517227,0.18662754993583333,1.0,0.0,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
3,GTFT: 0.33,3.090555555555555,0.9163865546218487,0.0,1.0,0.8294452814336836,0.08944177555422901,0.03959669752472277,0.04151624548736462,1.0,0.3404568901989683,1.0,0.3877551020408163,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
4,Tit For 2 Tats,3.0400000000000005,0.9360284318080853,0.0,1.0,0.8486066358457084,0.08713633604184179,0.030566711289602855,0.03369031682284694,1.0,0.7587859424920127,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
5,Cooperator,2.8181818181818183,1.0,0.0,1.0,0.8237527114967462,0.1762472885032538,0.0,0.0,1.0,1.0,0.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
6,Bully,2.6528571428571426,0.5087185725871858,3.0,0.0,0.1055681390789948,0.3916147351642856,0.3616875768994107,0.14112954885730894,0.0,1.0,0.0,1.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,probabilistic,7,1
0,Defector,4.578149008885851,0.0,17.0,0.0,0.0,0.0,0.3949280254567764,0.6050719745432235,0.0,0.0,0.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
1,Cycler DC,4.305350725298094,0.46519118869492937,10.0,0.0,0.1994980294550622,0.2654039907636552,0.31157304725042323,0.2235249325308594,0.0,0.0,1.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
2,Bully,4.2929211665527465,0.4512910194424442,10.0,0.0,0.14680916771349853,0.31222067936006465,0.33200967781132,0.2089604751151167,0.0,1.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
3,Suspicious Tit For Tat,4.253254835807468,0.4897242590106372,11.0,0.0,0.3220496219805551,0.16959659998471013,0.23153169233134005,0.2768220857033949,1.0,0.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
4,Grudger,4.240426217057797,0.6103500761035008,4.5,1.0,0.5521294342857914,0.052085057428141526,0.1961998536104805,0.19958565467558656,1.0,0.0,0.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
5,Win-Shift Lose-Stay: D,4.213940778519726,0.5346808947260414,9.0,0.0,0.22181822897327602,0.2990787530319577,0.28636399084243913,0.19273902715232719,0.0,1.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
6,Meta Winner: 18 players,4.205113526351529,0.3103850641773629,11.0,1.0,0.20152601961090275,0.1099494288378785,0.32062787009617905,0.3678966814550398,0.5759275865394256,0.37572773480373967,0.03785103389133843,0.13195483553971382,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
7,Random: 0.5,4.166401080859286,0.5015343698854338,9.0,0.5,0.2599706737700548,0.24104169975282697,0.2552853324889501,0.24370229398816823,0.4767570179590317,0.5195005198814918,0.4991876061075631,0.5012852827626298,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
8,Evolved FSM 16,4.116493862862285,0.7230673056886852,3.0,1.0,0.5912542142479101,0.12490852159841512,0.17868120391634804,0.10515606023732674,0.9651869513215948,0.4030848238393232,0.45012864971721767,0.3129264199722292,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
9,Meta Mixer: 18 players,4.0965347411356055,0.5784242675225179,8.0,0.7032667876588021,0.3692819574082165,0.21112293418181985,0.21085423308913404,0.2087408753208297,0.6730918670483983,0.4171381051125923,0.6692313298430151,0.39233569779818805,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
10,Win-Stay Lose-Shift,4.046102508602509,0.7534028812717337,1.0,1.0,0.6155315628515218,0.15302915256769828,0.10594691031884411,0.1254923742619359,1.0,0.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
11,Tit For Tat,4.041620386751192,0.7561706082825571,0.0,1.0,0.6052806105623941,0.14837219227475237,0.11623179202110369,0.13011540514174968,1.0,0.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
12,Anti Tit For Tat,4.0309509299609925,0.5679951323395194,8.0,1.0,0.21808706840488315,0.35617660333732115,0.2573221384168405,0.1684141898409553,0.0,1.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
13,Soft Joss: 0.9,4.025831747200169,0.7771157341951122,0.0,1.0,0.6317154038415752,0.15142715797139988,0.09874598700686636,0.11811145118015849,1.0,0.10154047336788315,1.0,0.09389212479659184,4.23,2.63,5.69,3.61,0.05,0.1,58,21,probabilistic,20,2
