run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
1,3.44,0.02,4.44,2.98,0.08,0.07,53,72,7,Suspicious Tit For Tat|GTFT: 0.33|Cooperator|Bully|Tit For 2 Tats|Evolved FSM 16|Grudger
2,4.23,2.63,5.69,3.61,0.05,0.1,58,21,20,"Win-Stay Lose-Shift|Meta Mixer: 18 players|Evolved FSM 16|Grudger|Suspicious Tit For Tat|Bully|Anti Tit For Tat|GTFT: 0.33|Cooperator|Tit For 2 Tats|Cycler DC|Random: 0.5|DoubleCrosser: (D, D)|Soft Joss: 0.9|ZD-GTFT-2: 0.25, 0.5|ZD-Extort-2: 0.1111111111111111, 0.5|Meta Winner: 18 players|Tit For Tat|Win-Shift Lose-Stay: D|Defector"
3,3.82,2.04,4.71,2.98,0.01,0.06,78,187,10,"Defector|Soft Joss: 0.9|Tit For 2 Tats|Win-Shift Lose-Stay: D|ZD-GTFT-2: 0.25, 0.5|Tit For Tat|GTFT: 0.33|DoubleCrosser: (D, D)|Evolved FSM 16|Meta Mixer: 9 players"
4,3.73,1.28,4.11,3.2,0.01,0.09,82,184,13,"Suspicious Tit For Tat|Meta Mixer: 12 players|Random: 0.5|Tit For 2 Tats|Soft Joss: 0.9|Cycler DC|Win-Shift Lose-Stay: D|Bully|Cooperator|Grudger|Evolved FSM 16|Evolved HMM 5|ZD-Extort-2: 0.1111111111111111, 0.5"
5,3.5,0.89,5.49,2.46,0.1,0.01,73,24,4,Cooperator|Cycler DC|Meta Mixer: 3 players|Defector
6,3.46,1.44,4.02,2.68,0.03,0.06,24,76,16,"Defector|Soft Joss: 0.9|Alternator|Win-Shift Lose-Stay: D|ZD-Extort-2: 0.1111111111111111, 0.5|Meta Winner: 14 players|Cooperator|DoubleCrosser: (D, D)|GTFT: 0.33|Cycler DC|Meta Mixer: 14 players|Evolved HMM 5|Win-Stay Lose-Shift|Random: 0.5|Bully|Tit For Tat"
7,3.9,1.73,5.53,3.26,0.0,0.03,12,29,14,"Win-Stay Lose-Shift|Tit For Tat|Anti Tit For Tat|Meta Mixer: 13 players|Bully|ZD-GTFT-2: 0.25, 0.5|Random: 0.5|DoubleCrosser: (D, D)|Evolved FSM 16|Tit For 2 Tats|Win-Shift Lose-Stay: D|ZD-Extort-2: 0.1111111111111111, 0.5|GTFT: 0.33|Evolved HMM 5"
8,5.65,3.11,5.93,4.51,0.07,0.04,95,167,14,"Soft Joss: 0.9|ZD-Extort-2: 0.1111111111111111, 0.5|Meta Winner: 13 players|Cooperator|Tit For Tat|ZD-GTFT-2: 0.25, 0.5|Bully|Defector|Alternator|Win-Stay Lose-Shift|Win-Shift Lose-Stay: D|Evolved HMM 5|Tit For 2 Tats|GTFT: 0.33"
9,3.42,0.08,4.01,1.14,0.0,0.03,75,61,11,"Meta Winner: 9 players|Random: 0.5|Suspicious Tit For Tat|ZD-GTFT-2: 0.25, 0.5|Cycler DC|Meta Mixer: 9 players|Tit For Tat|Tit For 2 Tats|ZD-Extort-2: 0.1111111111111111, 0.5|Soft Joss: 0.9|Evolved FSM 16"
10,4.14,3.06,4.93,3.11,0.01,0.04,53,28,10,"Suspicious Tit For Tat|Meta Winner: 9 players|ZD-GTFT-2: 0.25, 0.5|Soft Joss: 0.9|Cycler DC|DoubleCrosser: (D, D)|Defector|Evolved FSM 16|Tit For Tat|Cooperator"
