Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.5129166666666642,0.6712962962962963,1.0,1.0,0.6666666666666667,0.00462962962962963,0.16435185185185186,0.16435185185185186,1.0,0.0,0.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
1,Evolved FSM 16,3.450694444444443,0.7800925925925926,1.0,1.0,0.7199074074074074,0.06018518518518518,0.2175925925925926,0.0023148148148148147,1.0,0.9583333333333334,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
2,GTFT: 0.33,3.2167129629629616,0.9291579315164221,0.0,1.0,0.8601939203354297,0.06896401118099231,0.03092243186582809,0.03991963661774982,1.0,0.32848737477700013,1.0,0.3440265486725664,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
3,Tit For 2 Tats,3.212083333333332,0.9351851851851852,0.0,1.0,0.8634259259259259,0.07175925925925926,0.032407407407407406,0.032407407407407406,1.0,0.7586206896551724,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
4,Suspicious Tit For Tat,3.1090740740740728,0.6824772886093641,4.0,0.0,0.5779175401816912,0.10455974842767295,0.1138190076869322,0.20370370370370372,1.0,0.0,1.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
5,Cooperator,2.862083333333332,1.0,0.0,1.0,0.8310185185185185,0.16898148148148148,0.0,0.0,1.0,1.0,0.0,0.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
6,Bully,2.2761574074074065,0.5373427672955975,3.0,0.0,0.11329489867225716,0.4240478686233404,0.34403389238294896,0.11862334032145351,0.0,1.0,0.0,1.0,3.44,0.02,4.44,2.98,0.08,0.07,53,72,standard,7,1
0,Grudger,4.352080200501254,0.5494771411286837,6.0,1.0,0.5232045631319678,0.026272577996715927,0.2151499438250799,0.23537291504623625,1.0,0.0,0.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
1,Meta Winner: 18 players,4.351929824561402,0.14743755941578082,16.0,1.0,0.0892749114164722,0.05816264799930861,0.35511191772534784,0.4974505228588713,0.5414204927269586,0.3203831818940682,0.02899527422973772,0.06684416180380644,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
2,Defector,4.345037593984962,0.0,17.0,0.0,0.0,0.0,0.355284763633221,0.6447152363667792,0.0,0.0,0.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
3,Evolved FSM 16,4.287167919799499,0.6751793276294183,5.5,1.0,0.5630887563736927,0.11209057125572554,0.21251404373001467,0.11230662864056692,0.9489877552734283,0.4799317077070949,0.37428555947836756,0.3620239225153247,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
4,"DoubleCrosser: (D, D)",4.285187969924813,0.6557773744706594,15.0,1.0,0.5709100337049521,0.08486734076570737,0.1944516463572725,0.1497709791720681,0.9655120896424849,0.7698385977091288,0.02631578947368421,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
5,Tit For Tat,4.091904761904763,0.7265145622677384,1.0,1.0,0.5876760867686458,0.13883847549909256,0.11930688790942874,0.15417854982283294,1.0,0.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
6,"ZD-Extort-2: 0.1111111111111111, 0.5",4.072130325814538,0.6423818166104918,7.0,1.0,0.5116238873044681,0.13075792930602367,0.13386915564774005,0.22374902774176827,0.9663243021208268,0.7430170358272201,0.22134045822318854,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
7,Soft Joss: 0.9,4.059949874686718,0.7618183389508253,0.0,1.0,0.6174487943997925,0.14436954455103276,0.10020741508944775,0.1379742459597269,1.0,0.09953717734845217,1.0,0.10381932330998508,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
8,"ZD-GTFT-2: 0.25, 0.5",4.055889724310778,0.7708063261602282,1.0,1.0,0.6364186327888688,0.13438769337135947,0.08637974245959729,0.14281393138017462,1.0,0.42177156721320047,0.5799381200208457,0.07023654828636655,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
9,Win-Stay Lose-Shift,4.052330827067671,0.7483363581367211,2.0,1.0,0.5933800017284591,0.154956356408262,0.10824474980554835,0.14341889205773053,1.0,0.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
10,Suspicious Tit For Tat,4.04952380952381,0.5002160573848414,10.0,0.0,0.332512315270936,0.16770374211390546,0.1906490363840636,0.309134906231095,1.0,0.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
11,Cycler DC,4.04218045112782,0.47619047619047616,10.0,0.0,0.19419237749546278,0.2819980986950134,0.2820845216489499,0.24172500216057388,0.0,0.0,1.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
12,Meta Mixer: 18 players,4.019974937343358,0.531328320802005,10.0,0.690562613430127,0.31021519315530205,0.22111312764670296,0.21311900440757067,0.2555526747904244,0.6513535000842082,0.38892991433859514,0.6411699577988333,0.3777552899944541,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
13,Random: 0.5,3.9941102756892235,0.5031544378186846,9.0,0.5063520871143375,0.237619911848587,0.26553452597009763,0.23947800535822314,0.2573675568230922,0.49985898774480525,0.4970920962381285,0.5109616119653073,0.49486158141459413,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
14,GTFT: 0.33,3.9887468671679214,0.8242589231699939,0.0,1.0,0.6487771152017977,0.17548180796819635,0.07030507302739607,0.10543600380260996,1.0,0.3325617872171704,1.0,0.34161525658153813,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
15,Bully,3.9759649122807015,0.5194883761126955,10.0,0.0,0.1608331172759485,0.35865525883674704,0.29483190735459336,0.1856797165327111,0.0,1.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
16,Tit For 2 Tats,3.950952380952382,0.8488030420879785,0.0,1.0,0.6912539970616196,0.157549045026359,0.031155474894131875,0.12004148301788954,1.0,0.7284319805328255,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
17,Win-Shift Lose-Stay: D,3.9320300751879707,0.5614899317258664,8.0,0.0,0.2215452424163858,0.33994468930948063,0.24686716791979946,0.19164290035433412,0.0,1.0,1.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
18,Anti Tit For Tat,3.792255639097745,0.5990839166882724,7.0,1.0,0.1858957739175525,0.41318814277071986,0.23087892144153488,0.17003716187019272,0.0,1.0,0.0,1.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
19,Cooperator,3.728746867167921,1.0,0.0,1.0,0.6859821968714891,0.3140178031285109,0.0,0.0,1.0,1.0,0.0,0.0,4.23,2.63,5.69,3.61,0.05,0.1,58,21,standard,20,2
0,"DoubleCrosser: (D, D)",3.7725638740344714,0.699216905099258,8.0,1.0,0.6863278333866569,0.012889071712601126,0.13060468942821882,0.17017840547252314,0.9955651966312948,0.7609238451935081,0.06666666666666667,0.0,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
1,Evolved FSM 16,3.6904961378490886,0.7708304767128297,2.0,1.0,0.6803708274296509,0.09045964928317868,0.13014763014763014,0.09902189313954018,0.9332932692307692,0.534838076545633,0.13659195398838872,0.5453244047619048,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
2,Tit For Tat,3.6275876411170613,0.781205722382193,0.0,1.0,0.7220774867833692,0.05912823559882384,0.05694958636135107,0.16184469125645595,1.0,0.0,1.0,0.0,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
3,Soft Joss: 0.9,3.6143969102792717,0.8096119566707802,0.0,1.0,0.7309825251001721,0.07862943157060803,0.055372731843320075,0.13501531148589974,1.0,0.10552801959867777,1.0,0.1032903088266852,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
4,"ZD-GTFT-2: 0.25, 0.5",3.604221628045165,0.8361747185276597,0.0,1.0,0.7484574249280131,0.08771729359964654,0.04489845666316254,0.11892682480917777,1.0,0.572170666181401,0.5470997585028492,0.10776935924460514,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
5,GTFT: 0.33,3.5821717171717253,0.8657007480536892,0.0,1.0,0.7523195758489876,0.11338117220470162,0.0440757499581029,0.09022350198820787,1.0,0.328320469371271,1.0,0.3298586036098532,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
6,Tit For 2 Tats,3.579260249554375,0.8773786126727303,0.0,1.0,0.7941328823681765,0.08324573030455384,0.004677239971357618,0.11794414735591206,1.0,0.8265486047224777,1.0,0.0,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
7,Meta Mixer: 9 players,3.3551693404634646,0.4141642671054436,6.0,0.7806267806267806,0.26477444124502947,0.1493898258604141,0.17531270472446944,0.410523028170087,0.6995809989356634,0.2624548613627961,0.6763673648515556,0.16488358282584134,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
8,Defector,3.265249554367209,0.0,8.0,0.0,0.0,0.0,0.16554687142922436,0.8344531285707756,0.0,0.0,0.0,0.0,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
9,Win-Shift Lose-Stay: D,3.2340106951871705,0.5975364504776269,5.0,0.0,0.23056355409296586,0.366972896384661,0.2342276459923519,0.16823590353002119,0.0,1.0,1.0,0.0,3.82,2.04,4.71,2.98,0.01,0.06,78,187,standard,10,3
0,Evolved HMM 5,3.6902445652174,0.6014934605867798,5.0,1.0,0.5707681601272534,0.030725300459526334,0.2697452721809827,0.12876126723223755,0.996679459570856,0.5351635024603544,0.00888526336922057,0.1803815186582219,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
1,Grudger,3.6790602355072544,0.43746133792859665,5.0,1.0,0.43429657122658183,0.0031647667020148463,0.2823988158359844,0.2801398462354189,1.0,0.0,0.0,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
2,Evolved FSM 16,3.638725090579718,0.5381705107811948,5.0,1.0,0.48298316542948033,0.055187345351714386,0.3180783845881937,0.14375110463061153,0.8689629668565578,0.554361449797978,0.2683016280913344,0.16927611132982884,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
3,Soft Joss: 0.9,3.363208786231889,0.7826473577235772,0.0,1.0,0.6326716595970308,0.14997569812654646,0.12467413396960057,0.09267850830682219,1.0,0.10098416439009408,1.0,0.09893653891920647,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
4,Suspicious Tit For Tat,3.2919633152173944,0.5632401025097208,7.0,0.0,0.42721588900671614,0.1360242135030046,0.13923868858253796,0.29752120890774125,1.0,0.0,1.0,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
5,Tit For 2 Tats,3.2577875905797136,0.8730558501237187,0.0,1.0,0.6958233916578296,0.17723245846588898,0.03493946624248851,0.09200468363379287,1.0,0.7782867692180918,1.0,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
6,"ZD-Extort-2: 0.1111111111111111, 0.5",3.2358129528985513,0.4943608607281725,7.0,1.0,0.34884787027218095,0.1455129904559915,0.14086249558147756,0.36477664369034996,0.9709524780871175,0.7864026164081319,0.2652729847910898,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
7,Cooperator,3.1530072463768164,1.0,0.0,1.0,0.7637581742665253,0.23624182573347471,0.0,0.0,1.0,1.0,0.0,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
8,Meta Mixer: 12 players,3.0992776268115936,0.49109667727112055,7.0,0.6321138211382114,0.26463083244962887,0.2264658448214917,0.21069724284199362,0.2982060798868858,0.5965236865667688,0.40476044392136273,0.5883721935988236,0.3926635314536687,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
9,Random: 0.5,3.0189560688405788,0.5009555054789678,5.0,0.5020325203252033,0.2338061152350654,0.2671493902439024,0.23125994167550368,0.26778455284552843,0.49756175802246294,0.5039871599989474,0.5001032962196486,0.49879734220786287,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
10,Cycler DC,2.9925158514492747,0.5,5.0,0.0,0.21248122127960412,0.2875187787203959,0.25540164369034996,0.2445983563096501,0.0,0.0,1.0,1.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
11,Win-Shift Lose-Stay: D,2.8447894021739155,0.5608596235418876,6.0,0.0,0.21491140862495586,0.3459482149169318,0.2169770678685047,0.22216330858960762,0.0,1.0,1.0,0.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
12,Bully,2.7372010869565235,0.5800249646518204,4.0,0.0,0.17638189289501588,0.4036430717568045,0.24051674620007069,0.17945828914810888,0.0,1.0,0.0,1.0,3.73,1.28,4.11,3.2,0.01,0.09,82,184,standard,13,4
0,Defector,4.479999999999999,0.0,3.0,0.0,0.0,0.0,0.6632420091324202,0.33675799086757996,0.0,0.0,0.0,0.0,3.5,0.89,5.49,2.46,0.1,0.01,73,24,standard,4,5
1,Cycler DC,3.0849999999999995,0.5,1.0,0.0,0.280441400304414,0.219558599695586,0.22507610350076104,0.27492389649923893,0.0,0.0,1.0,1.0,3.5,0.89,5.49,2.46,0.1,0.01,73,24,standard,4,5
