Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.151675485008818,0.15453654712913972,9.0,0.9061728395061729,0.11655888692925731,0.03797766019988242,0.4921418773270625,0.3533215755437977,0.5222474900520644,0.0602229232081101,0.08128471443332162,0.06399612705017092,3,0,5,1,0.06,0.0,45,63,noisy,10,1
1,"DoubleCrosser: (D, D)",2.9188712522045854,0.3520282186948854,7.0,0.9432098765432099,0.2638056045463453,0.08822261414854007,0.36982167352537726,0.2781501077797375,0.6892404583800934,0.6241317355715054,0.20155785561194195,0.08944195868356997,3,0,5,1,0.06,0.0,45,63,noisy,10,1
2,Evolved FSM 16,2.837742504409171,0.33576327650401727,7.0,0.945679012345679,0.1955712326082696,0.1401920438957476,0.3974132863021752,0.26682343719380763,0.485875834281143,0.3522551014221636,0.27674505617013984,0.2975790671281991,3,0,5,1,0.06,0.0,45,63,noisy,10,1
3,Soft Joss: 0.9,2.2063492063492065,0.5724083872232021,2.0,0.9135802469135802,0.3207916911620615,0.2516166960611405,0.20666274740348814,0.2209288653733098,0.9407325662249849,0.14771811788560169,0.9371385987079717,0.16555311173465576,3,0,5,1,0.06,0.0,45,63,noisy,10,1
4,Meta Mixer: 9 players,2.0987654320987654,0.47242798353909465,5.0,0.7012345679012346,0.21579463060944545,0.25663335292964917,0.23488144228884966,0.29269057417205563,0.44943689109249113,0.5027888013329928,0.4275708992696596,0.5132827757485977,3,0,5,1,0.06,0.0,45,63,noisy,10,1
5,Cycler DC,1.9453262786596117,0.49139721732314323,3.0,0.07160493827160494,0.22833627278071722,0.263060944542426,0.19075053889868707,0.3178522437781697,0.12803104392066197,0.15734291775227918,0.8450917787157258,0.8580825987488114,3,0,5,1,0.06,0.0,45,63,noisy,10,1
6,Alternator,1.9453262786596117,0.5024887321183618,3.0,0.9580246913580247,0.23840877914951988,0.26407995296884185,0.18408779149519894,0.3134234763864393,0.05897115046409852,0.05669480703670111,0.9326515254858746,0.9331563064645955,3,0,5,1,0.06,0.0,45,63,noisy,10,1
7,Bully,1.9206349206349205,0.5590436997844406,4.0,0.05185185185185185,0.20564373897707233,0.35339996080736824,0.21575543797766022,0.2252008622378993,0.05938317900803104,0.9372911015570489,0.06287010952585763,0.9445147875167458,3,0,5,1,0.06,0.0,45,63,noisy,10,1
8,Anti Tit For Tat,1.8483245149911818,0.5838134430727023,3.0,0.9407407407407408,0.21634332745443854,0.36747011561826376,0.19408191260043106,0.22210464432686655,0.0590916663283496,0.9461373418924749,0.0619998325224858,0.9387136169603364,3,0,5,1,0.06,0.0,45,63,noisy,10,1
9,Cooperator,1.5238095238095237,0.940623162845385,0.0,0.928395061728395,0.44953948657652376,0.49108367626886146,0.028140309621791103,0.031236527532823837,0.9436627392333082,0.9391217390145781,0.9432710561349708,0.9243177153674801,3,0,5,1,0.06,0.0,45,63,noisy,10,1
0,Evolved HMM 5,2.619565217391304,0.3343658058188951,13.0,0.9548872180451128,0.21307616868257603,0.12128963713631906,0.32875122589081396,0.33688296829029096,0.7373480431019567,0.3577117163725916,0.13162425913408082,0.18628007721813025,3,0,5,1,0.05,0.0,35,184,noisy,20,2
1,Grudger,2.568935926773455,0.08627002288329519,18.0,0.9578947368421052,0.05281137626675385,0.033458646616541354,0.3711915658711998,0.5425384112455051,0.49586897964896165,0.040709443534060266,0.06058507051997457,0.051262957482308184,3,0,5,1,0.05,0.0,35,184,noisy,20,2
