Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.144620811287478,0.14728591024887322,9.0,0.9358024691358025,0.10844601214971583,0.03883989809915736,0.49159318048206935,0.36112090926905743,0.4995290873809403,0.057032187749547866,0.08627992460786929,0.05657135188414589,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
1,"DoubleCrosser: (D, D)",2.892416225749559,0.35014697236919456,7.0,0.9432098765432099,0.2607485792670977,0.08939839310209681,0.36931216931216926,0.2805408583186361,0.7010212687801157,0.6170177621171092,0.19310684971181236,0.09373846315639893,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
2,Evolved FSM 16,2.8536155202821867,0.3434450323339212,7.0,0.928395061728395,0.2031746031746032,0.14027042915931806,0.39733490103860475,0.25922006662747404,0.468922972091417,0.3424111058525168,0.28971723561807455,0.3003021640459817,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
3,Soft Joss: 0.9,2.2028218694885364,0.5720556535371351,2.0,0.9555555555555556,0.31326670585929844,0.25878894767783656,0.20779933372525966,0.22014501273760534,0.9430761442817697,0.14248609366626308,0.9419405219566447,0.17364932163693267,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
4,Meta Mixer: 9 players,2.112874779541446,0.47767979619831474,5.0,0.7728395061728395,0.22602390750538895,0.2516558886929257,0.2326474622770919,0.28967274152459344,0.4438825609005603,0.5201554653443813,0.43447095735772656,0.48386501361231815,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
5,Cycler DC,1.9735449735449733,0.4918283362727807,4.0,0.05185185185185185,0.22567117381932197,0.2661571624534587,0.1964726631393298,0.31169900058788946,0.12778491134774686,0.16275798079994175,0.8345214670072411,0.8700058108564638,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
6,Alternator,1.959435626102293,0.5035077405447775,3.0,0.9432098765432099,0.23899666862629823,0.26451107191847933,0.18530276308054086,0.31118949637468163,0.05350403860081027,0.05681623903672502,0.9386608317016388,0.9454122683493765,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
7,Bully,1.8924162257495591,0.562100725063688,4.0,0.05185185185185185,0.20489907897315304,0.35720164609053495,0.21305114638447975,0.22484812855183225,0.05588846397062598,0.9435683134628159,0.05828128947355146,0.941532418347438,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
8,Anti Tit For Tat,1.8553791887125222,0.5830295904369979,3.0,0.9555555555555556,0.2166176758769351,0.3664119145600627,0.19619831471683324,0.22077209484616891,0.0574226386575426,0.9424103620150464,0.0645547818170267,0.9448296839749124,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
9,Cooperator,1.5908289241622575,0.9439545365471291,0.0,0.9530864197530864,0.46016068979031943,0.4837938467568097,0.02731726435430139,0.02872819909856947,0.9427386088315026,0.9433088372475414,0.9079801701407619,0.940426186265471,3,0,5,1,0.06,0.0,45,63,prob_noisy,10,1
0,Evolved HMM 5,2.6252860411899315,0.33754494932984636,13.0,0.9488721804511279,0.21873161163779015,0.11881333769205624,0.32656096763648246,0.3358940830336712,0.7369000633566184,0.3567268266464339,0.13255120277654722,0.18216821300688302,3,0,5,1,0.05,0.0,35,184,prob_noisy,20,2
1,"DoubleCrosser: (D, D)",2.5614988558352403,0.30934946060804186,13.0,0.9458646616541353,0.24023373651520102,0.0691157240928408,0.2859349460608042,0.404715593331154,0.6973018127819448,0.5081054133895091,0.1947645789260991,0.06188964205401195,3,0,5,1,0.05,0.0,35,184,prob_noisy,20,2
2,Grudger,2.556922196796339,0.08568976789800588,18.0,0.9323308270676691,0.05223112128146453,0.033458646616541354,0.37195161817587447,0.5423586139261197,0.47124696039590996,0.053330098178936074,0.05952175572009237,0.04769955050985973,3,0,5,1,0.05,0.0,35,184,prob_noisy,20,2
