Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.4109347442680775,0.4612972761120909,5.0,1.0,0.45247893396041544,0.008818342151675485,0.3796590241034685,0.15904369978444052,1.0,0.0,0.0,0.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
1,Evolved FSM 16,3.3580246913580245,0.4870076425631981,5.0,1.0,0.4658828140309621,0.021124828532235938,0.3595140113658632,0.15347834607093866,0.8516417397283824,0.43905472636815923,0.04731666539897302,0.07048267824129893,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
2,"DoubleCrosser: (D, D)",3.296296296296296,0.5126788163825201,5.0,1.0,0.47611209092690576,0.03656672545561435,0.34497354497354504,0.14234763864393496,1.0,0.7455399061032864,0.011948529411764705,0.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
3,Soft Joss: 0.9,2.560846560846561,0.7436018028610621,0.0,1.0,0.5391338428375465,0.20446796002351558,0.17189888300999415,0.08449931412894375,1.0,0.09939049184759048,1.0,0.09799800846876244,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
4,Meta Mixer: 9 players,2.105820105820106,0.48932000783852636,6.0,0.8074074074074075,0.24072114442484815,0.2485988634136782,0.22132079169116203,0.28935920047031155,0.4883686749665474,0.4915581324371817,0.4764911044659057,0.4986405682045808,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
5,Bully,2.0828924162257496,0.5429747207524985,4.0,0.0,0.16237507348618457,0.38059964726631396,0.2854791299235743,0.1715461493239271,0.0,1.0,0.0,1.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
6,Cycler DC,1.929453262786596,0.49206349206349204,4.0,0.0,0.20309621791103274,0.2889672741524593,0.2037233000195963,0.3042132079169116,0.0,0.0,1.0,1.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
7,Alternator,1.9241622574955908,0.5079365079365079,2.0,1.0,0.21602978640015677,0.29190672153635117,0.1963550852439741,0.29570840681951793,0.0,0.0,1.0,1.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
8,Cooperator,1.8941798941798942,1.0,0.0,1.0,0.6332353517538702,0.36676464824612975,0.0,0.0,1.0,1.0,0.0,0.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
9,Anti Tit For Tat,1.5432098765432098,0.6601998824221046,2.0,1.0,0.17362335880854396,0.48657652361356063,0.17146776406035666,0.1683323535175387,0.0,1.0,0.0,1.0,3,0,5,1,0.06,0.0,45,63,probabilistic,10,1
0,"DoubleCrosser: (D, D)",3.050057208237986,0.5504168028767571,7.0,1.0,0.5370627656096764,0.013354037267080744,0.2462242562929062,0.20335894083033668,0.9998456075343524,0.7713987473903966,0.050980392156862744,0.0,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
1,Evolved HMM 5,3.0011441647597255,0.5906914024190912,7.0,1.0,0.5413779012749265,0.04931350114416476,0.24201536449820205,0.16729323308270674,0.9976161501896795,0.4758089391292423,0.01988380425880426,0.20032275606637734,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
2,Evolved FSM 16,2.9702517162471396,0.5897352075841779,7.0,1.0,0.49780974174566855,0.09192546583850932,0.26677835894083035,0.14348643347499185,0.8967284177810492,0.533843373920666,0.15975677859704016,0.3288969658616564,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
3,Grudger,2.967391304347826,0.47857960117685516,7.0,1.0,0.47571918927754164,0.0028604118993135006,0.2549117358613926,0.26650866296175224,1.0,0.0,0.0,0.0,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
4,Meta Winner: 18 players,2.6335812356979402,0.016663942464857796,16.0,1.0,0.01006864988558352,0.006595292579274271,0.39938705459300416,0.5839490029421379,0.534004325097334,0.37227796818147285,0.015456646335624177,0.00585647487841541,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
5,Tit For Tat,2.5274599542334095,0.6915250081726054,0.0,1.0,0.541745668519124,0.14977933965348153,0.14832461588754497,0.16015037593984963,1.0,0.0,1.0,0.0,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
6,Soft Joss: 0.9,2.5022883295194505,0.7391467799934619,0.0,1.0,0.5964694344557046,0.14267734553775743,0.11343576332134683,0.14741745668519124,1.0,0.09820815085105297,1.0,0.09485651734807955,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
7,Win-Stay Lose-Shift,2.446796338672769,0.721436744033998,1.0,1.0,0.562070938215103,0.15936580581889506,0.12057862046420398,0.15798463550179798,1.0,0.0,0.0,1.0,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
8,Defector,2.4347826086956523,0.0,17.0,0.0,0.0,0.0,0.35923504413206936,0.6407649558679307,0.0,0.0,0.0,0.0,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
9,GTFT: 0.33,2.3930205949656753,0.8047973193854201,0.0,1.0,0.6225155279503105,0.1822817914351095,0.08237986270022883,0.1128228179143511,1.0,0.34231169320796484,1.0,0.32966551387456805,3,0,5,1,0.05,0.0,35,184,probabilistic,20,2
