run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
1,3,0,5,1,0.06,0.0,45,63,10,"Cycler DC|Cooperator|Evolved FSM 16|Bully|DoubleCrosser: (D, D)|Alternator|Soft Joss: 0.9|Anti Tit For Tat|Meta Mixer: 9 players|Grudger"
2,3,0,5,1,0.05,0.0,35,184,20,"DoubleCrosser: (D, D)|Tit For Tat|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Alternator|Tit For 2 Tats|Evolved FSM 16|Bully|Grudger|Suspicious Tit For Tat|Defector|Cycler DC|Meta Winner: 18 players|Anti Tit For Tat|Meta Mixer: 18 players|Random: 0.5|Evolved HMM 5|GTFT: 0.33|Cooperator|Win-Stay Lose-Shift"
3,3,0,5,1,0.08,0.06,15,187,17,"Evolved FSM 16|Cooperator|Tit For 2 Tats|Bully|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|GTFT: 0.33|Random: 0.5|Defector|Meta Winner: 15 players|Meta Mixer: 15 players|Anti Tit For Tat|Alternator|Grudger|Win-Shift Lose-Stay: D|Evolved HMM 5|Tit For Tat"
4,3,0,5,1,0.09,0.09,58,72,17,Grudger|Defector|Meta Winner: 15 players|Evolved FSM 16|Suspicious Tit For Tat|GTFT: 0.33|Cycler DC|Evolved HMM 5|Soft Joss: 0.9|Tit For 2 Tats|Anti Tit For Tat|Bully|Cooperator|Win-Stay Lose-Shift|Tit For Tat|Meta Mixer: 15 players|Win-Shift Lose-Stay: D
5,3,0,5,1,0.1,0.06,81,57,13,Anti Tit For Tat|Tit For Tat|Meta Winner: 11 players|GTFT: 0.33|Tit For 2 Tats|Cycler DC|Evolved FSM 16|Cooperator|Win-Stay Lose-Shift|Defector|Random: 0.5|Meta Mixer: 11 players|Suspicious Tit For Tat
6,3,0,5,1,0.09,0.06,28,68,7,"Tit For Tat|Evolved FSM 16|Meta Mixer: 6 players|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Soft Joss: 0.9|Win-Stay Lose-Shift"
7,3,0,5,1,0.04,0.02,27,131,18,Bully|Anti Tit For Tat|Cooperator|Cycler DC|Defector|Tit For 2 Tats|GTFT: 0.33|Suspicious Tit For Tat|Win-Stay Lose-Shift|Meta Mixer: 16 players|Soft Joss: 0.9|Grudger|Tit For Tat|Evolved HMM 5|Meta Winner: 16 players|Win-Shift Lose-Stay: D|Alternator|Random: 0.5
8,3,0,5,1,0.07,0.07,78,193,11,"GTFT: 0.33|Cooperator|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Defector|Tit For Tat|Alternator|Grudger|Tit For 2 Tats|Cycler DC|Win-Shift Lose-Stay: D"
9,3,0,5,1,0.08,0.05,23,161,12,Evolved HMM 5|Suspicious Tit For Tat|Cycler DC|Grudger|Defector|Win-Shift Lose-Stay: D|Tit For 2 Tats|Soft Joss: 0.9|Alternator|Win-Stay Lose-Shift|Random: 0.5|Tit For Tat
10,3,0,5,1,0.0,0.09,49,62,4,Tit For Tat|Meta Mixer: 3 players|Bully|Evolved FSM 16
