Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.3985890652557322,0.45969037820889674,5.0,1.0,0.4491083676268861,0.010582010582010581,0.3783656672545561,0.16194395453654714,1.0,0.0,0.0,0.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
1,Evolved FSM 16,3.3474426807760143,0.4877523025671174,5.0,1.0,0.46435430139133843,0.023398001175778955,0.35849500293944736,0.1537526944934352,0.8538037166085948,0.4528076463560335,0.05078774804941133,0.07274869759364921,3,0,5,1,0.06,0.0,45,63,standard,10,1
2,"DoubleCrosser: (D, D)",3.310405643738977,0.4984126984126984,9.0,1.0,0.4604742308446012,0.03793846756809719,0.35563394081912597,0.14595336076817558,0.9914976552166419,0.7451612903225806,0.021352313167259787,0.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
3,Soft Joss: 0.9,2.5520282186948853,0.7411718596903782,0.0,1.0,0.5352537722908094,0.20591808739956885,0.17178130511463843,0.08704683519498335,1.0,0.0998608218679052,1.0,0.09953543237056377,3,0,5,1,0.06,0.0,45,63,standard,10,1
4,Meta Mixer: 9 players,2.111111111111111,0.48932000783852636,6.0,0.7654320987654321,0.24150499706055262,0.24781501077797374,0.222183029590437,0.28849696257103674,0.4820962288972815,0.5026200330960451,0.47494209602492976,0.49863431295757216,3,0,5,1,0.06,0.0,45,63,standard,10,1
5,Bully,2.0934744268077603,0.5417205565353713,4.0,0.0,0.16245345874975506,0.3792670977856163,0.28692925729962765,0.17135018616500097,0.0,1.0,0.0,1.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
6,Cycler DC,1.9312169312169312,0.49206349206349204,4.0,0.0,0.20505584950029396,0.2870076425631981,0.20321379580638838,0.3047227121301195,0.0,0.0,1.0,1.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
7,Alternator,1.9206349206349205,0.5079365079365079,2.0,1.0,0.21552028218694882,0.29241622574955906,0.1967862041936116,0.2952772878698805,0.0,0.0,1.0,1.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
8,Cooperator,1.8835978835978837,1.0,0.0,1.0,0.6282578875171468,0.3717421124828532,0.0,0.0,1.0,1.0,0.0,0.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
9,Anti Tit For Tat,1.5326278659611994,0.6610621203213796,2.0,1.0,0.17358416617675873,0.48747795414462086,0.17017440721144425,0.16876347246717616,0.0,1.0,0.0,1.0,3,0,5,1,0.06,0.0,45,63,standard,10,1
0,"DoubleCrosser: (D, D)",3.0426201372997714,0.544573389996731,16.0,1.0,0.5313337692056228,0.013239620791108204,0.24838999673095782,0.20703661327231124,0.9966069546308899,0.7696774193548388,0.054878048780487805,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
1,Evolved HMM 5,3.003432494279176,0.587888198757764,7.0,1.0,0.5392448512585812,0.04864334749918273,0.24384602811376266,0.16826577312847335,0.9971662716668471,0.4684207532055965,0.01673821385670462,0.19570575654558528,3,0,5,1,0.05,0.0,35,184,standard,20,2
2,Evolved FSM 16,2.972826086956522,0.5884030728996404,7.0,1.0,0.4966083687479569,0.09179470415168356,0.2680124223602485,0.14358450474011117,0.9014984450098953,0.5302489193696064,0.16234249247286797,0.32612367276933346,3,0,5,1,0.05,0.0,35,184,standard,20,2
3,Grudger,2.9659610983981692,0.4785060477280157,7.0,1.0,0.4753595946387708,0.0031464530892448507,0.25478097417456685,0.2667129780974175,1.0,0.0,0.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
4,Meta Winner: 18 players,2.6338672768878717,0.016802876757110168,16.0,1.0,0.010076822491010133,0.006726054266100031,0.3958728342595619,0.5873242889833279,0.5448884641629944,0.40295249089031515,0.010762724313758076,0.008892840878707738,3,0,5,1,0.05,0.0,35,184,standard,20,2
5,Tit For Tat,2.5266018306636155,0.6918846028113763,0.0,1.0,0.5413206930369402,0.1505639097744361,0.14879045439686173,0.15932494279176201,1.0,0.0,1.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
6,Soft Joss: 0.9,2.5014302059496565,0.739628963713632,0.0,1.0,0.5965429879045439,0.14308597580908797,0.11299444262830993,0.14737659365805816,1.0,0.09440349291505061,1.0,0.09477165267509459,3,0,5,1,0.05,0.0,35,184,standard,20,2
7,Win-Stay Lose-Shift,2.443077803203661,0.7205214122262177,2.0,1.0,0.5605344883949004,0.1599869238313174,0.12095456031382804,0.15852402745995423,1.0,0.0,0.0,1.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
8,Defector,2.433638443935927,0.0,17.0,0.0,0.0,0.0,0.35931677018633545,0.6406832298136645,0.0,0.0,0.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
9,GTFT: 0.33,2.3955949656750573,0.8036613272311213,0.0,1.0,0.6216165413533835,0.1820447858777378,0.08323798627002289,0.11310068649885584,1.0,0.35378169888260397,1.0,0.3289780955383042,3,0,5,1,0.05,0.0,35,184,standard,20,2
10,Tit For 2 Tats,2.306064073226545,0.8293151356652501,0.0,1.0,0.667121608368748,0.16219352729650213,0.03320529584831645,0.13747956848643347,1.0,0.7611923688808173,1.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
11,Suspicious Tit For Tat,2.2674485125858124,0.5434210526315789,9.0,0.0,0.3735943118666231,0.16982674076495585,0.17234390323635174,0.2842350441320693,1.0,0.0,1.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
12,Cooperator,2.01058352402746,1.0,0.0,1.0,0.6701372997711671,0.32986270022883296,0.0,0.0,1.0,1.0,0.0,0.0,3,0,5,1,0.05,0.0,35,184,standard,20,2
13,Meta Mixer: 18 players,2.002574370709382,0.44432003922850605,11.0,0.6947368421052632,0.2031627983000981,0.24115724092840798,0.2139588100686499,0.34172115070284403,0.5619769328793516,0.38186707790582197,0.5314292063603806,0.3756585838850961,3,0,5,1,0.05,0.0,35,184,standard,20,2
