Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Defector,3.2329814814814823,0.038363363363363365,18.0,0.046546546546546545,0.01656656656656657,0.021796796796796795,0.40422922922922927,0.5574074074074074,0.06519169415636991,0.036476217141484836,0.03903679015312364,0.039871122937171335,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
1,Meta Winner: 17 players,3.177481481481482,0.08778778778778779,17.0,0.9564564564564565,0.04534534534534534,0.04244244244244244,0.3882632632632632,0.523948948948949,0.373655508006932,0.2602772533024011,0.07029266775771174,0.0758781679541985,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
2,Evolved HMM 5,3.168398148148148,0.40265265265265265,13.0,0.963963963963964,0.3007257257257257,0.10192692692692691,0.31956956956956956,0.27777777777777773,0.7964256034062013,0.3506259110016107,0.13767479110008252,0.17195899267093612,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
3,"DoubleCrosser: (D, D)",3.1112962962962953,0.47204704704704703,10.0,0.9369369369369369,0.38626126126126126,0.08578578578578581,0.25505505505505505,0.272897897897898,0.8083510502526605,0.6671349510415141,0.2898156469751727,0.1381199906789478,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
4,Evolved FSM 16,2.975277777777777,0.416991991991992,13.0,0.9594594594594594,0.2503253253253253,0.16666666666666663,0.33558558558558554,0.24742242242242238,0.5609416022605502,0.42310522545589035,0.32936558011440503,0.31669952429501186,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
5,Tit For Tat,2.59186111111111,0.5763263263263263,8.0,0.960960960960961,0.379029029029029,0.1972972972972973,0.19782282282282282,0.22585085085085085,0.9558860882105732,0.04141624491032748,0.9600092575178542,0.03923189823609485,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
6,Suspicious Tit For Tat,2.541259259259258,0.5295045045045045,10.0,0.03153153153153153,0.32672672672672676,0.20277777777777772,0.21391391391391396,0.2565815815815815,0.9635270616512321,0.04206147228638995,0.9596178990111446,0.04203137409192098,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
7,Soft Joss: 0.9,2.5365185185185175,0.629054054054054,5.0,0.9594594594594594,0.4144644644644644,0.21458958958958957,0.17967967967967968,0.19126626626626628,0.9607976148137466,0.12417264938333512,0.9557147802256709,0.13913163625826955,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
8,Win-Stay Lose-Shift,2.4198240740740737,0.541016016016016,9.0,0.9669669669669669,0.298048048048048,0.24296796796796796,0.2211961961961962,0.23778778778778775,0.9552217451447684,0.04255501027085815,0.039388106115880527,0.9664143252086171,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
9,GTFT: 0.33,2.354101851851851,0.7178428428428428,2.0,0.9564564564564565,0.464039039039039,0.2538038038038038,0.13561061061061058,0.14654654654654656,0.961144036813083,0.34259264968853187,0.9575847994749063,0.3257649839465112,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
10,Meta Mixer: 17 players,2.3539351851851844,0.4831331331331331,10.0,0.6351351351351351,0.2362362362362363,0.2468968968968969,0.23000500500500495,0.28686186186186186,0.5620756698751367,0.41867732060040774,0.5492939593773078,0.42024835296476637,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
11,Tit For 2 Tats,2.3017870370370357,0.7803553553553554,1.0,0.96996996996997,0.549874874874875,0.23048048048048045,0.07192192192192191,0.14772272272272272,0.964080277105261,0.7349619694742006,0.9570096795591413,0.44640032278769176,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
12,Random: 0.5,2.2586111111111107,0.49792292292292295,8.0,0.5015015015015015,0.22414914914914918,0.27377377377377377,0.22510010010010012,0.27697697697697704,0.4875401208974742,0.5022800667994274,0.5023685583185288,0.5036361920165308,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
13,Cycler DC,2.2260648148148143,0.5008258258258258,8.0,0.03153153153153153,0.20222722722722716,0.29859859859859866,0.244994994994995,0.25417917917917915,0.11996000589377537,0.10484200929997534,0.9136659115488607,0.8724882313513577,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,prob_noisy,19,1
