Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,"DoubleCrosser: (D, D)",3.3959722222222215,0.5594344344344344,7.0,1.0,0.5244994994994995,0.03493493493493493,0.23983983983983986,0.2007257257257257,1.0,0.7741379310344827,0.015873015873015872,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
1,Evolved HMM 5,3.37299074074074,0.5783533533533534,7.0,1.0,0.520945945945946,0.05740740740740743,0.2506756756756757,0.170970970970971,0.9988395626347053,0.4604372632456818,0.014529458810983737,0.1935761677822991,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
2,Meta Winner: 17 players,3.316666666666668,0.051301301301301304,16.0,1.0,0.030805805805805806,0.020495495495495494,0.4124874874874875,0.5362112112112112,0.535883839852104,0.4201004429053965,0.010399562763702649,0.021905105009207358,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
3,Evolved FSM 16,3.279499999999999,0.5835585585585585,7.0,1.0,0.48075575575575574,0.1028028028028028,0.27377377377377377,0.14266766766766764,0.8976715686274509,0.5012523543737069,0.18826037741011342,0.31952928151936494,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
4,Defector,3.2013333333333347,0.0,16.0,0.0,0.0,0.0,0.3858108108108108,0.6141891891891891,0.0,0.0,0.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
5,Tit For Tat,2.7572222222222207,0.6821821821821822,2.0,1.0,0.5215715715715716,0.16061061061061063,0.15688188188188193,0.16093593593593594,1.0,0.0,1.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
6,Soft Joss: 0.9,2.708129629629628,0.7272272272272272,0.0,1.0,0.5671671671671672,0.16006006006006004,0.12417417417417417,0.1485985985985986,1.0,0.10083557066718771,1.0,0.09627603690515192,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
7,Win-Stay Lose-Shift,2.668768518518517,0.7071321321321321,3.0,1.0,0.5399649649649648,0.16716716716716717,0.12825325325325326,0.16461461461461463,1.0,0.0,0.0,1.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
8,Suspicious Tit For Tat,2.606768518518517,0.564914914914915,9.0,0.0,0.37925425425425424,0.18566066066066064,0.1938438438438438,0.24124124124124124,1.0,0.0,1.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
9,GTFT: 0.33,2.5527314814814797,0.7956206206206207,0.0,1.0,0.6038538538538538,0.19176676676676674,0.08801301301301302,0.11636636636636638,1.0,0.3253344170292098,1.0,0.3222308532326688,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,probabilistic,19,1
