Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,Grudger,3.52597222222222,0.1650069881201956,6.0,0.9213836477987422,0.116701607267645,0.0483053808525506,0.4338749126484975,0.4011180992313068,0.5660278635608887,0.0985271855451393,0.1002476498890006,0.0817026203284805,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
1,Evolved FSM 16,3.1443518518518503,0.3966194968553459,4.0,0.9213836477987422,0.2336215932914046,0.1629979035639412,0.3641684136967156,0.2392120894479385,0.5219617433233806,0.4049360413553569,0.3446223912663823,0.3016328000424561,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
2,Suspicious Tit For Tat,2.970509259259258,0.5804507337526206,4.0,0.0660377358490566,0.4228686233403214,0.157582110412299,0.1833508036338225,0.2361984626135569,0.9219800917606186,0.0722075472876273,0.914034697444396,0.0884666239658088,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
3,Tit For 2 Tats,2.787638888888888,0.718990216631726,1.0,0.9245283018867924,0.5206586303284416,0.1983315863032844,0.0991002795248078,0.181909503843466,0.9231523090231676,0.6666906436533889,0.905350764364314,0.3754797856121287,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
4,GTFT: 0.33,2.6852314814814804,0.6892470300489169,2.0,0.9213836477987422,0.4565863032844164,0.2326607267645003,0.1260482180293501,0.184704751921733,0.9195456583260154,0.3539651914589044,0.9208723697323428,0.3678499150062397,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
5,Bully,2.475,0.5164220824598184,3.0,0.0283018867924528,0.1664919636617749,0.3499301187980433,0.305817610062893,0.1777603074772886,0.0764350776482397,0.9272837095625074,0.0860263155244441,0.9201547414606108,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
6,Cooperator,2.05449074074074,0.9222134870719776,0.0,0.9182389937106918,0.5159853249475891,0.4062281621243885,0.043675751222921,0.0341107617051013,0.9155821355892946,0.9220716041431948,0.9375455630073812,0.9537683948650932,3.44,0.02,4.44,2.98,0.08,0.07,53,72,noisy,7,1
0,Defector,4.399624060150376,0.0505574280528908,18.0,0.0499092558983666,0.0219946417768559,0.0285627862760349,0.3830697433238268,0.5663728286232824,0.0836370981856105,0.1041383099921014,0.049050799049877,0.049465295916119,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
1,Grudger,4.315187969924812,0.3333765448103016,15.0,0.9382940108892922,0.2714977097917206,0.0618788350185809,0.2899490104571774,0.3766744447325209,0.7201323456217369,0.0624894086152852,0.1318011526946972,0.0550963607463094,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
2,Meta Winner: 18 players,4.301177944862155,0.1852476017630282,16.0,0.9346642468239564,0.1043557168784029,0.0808918848846253,0.3367470400138276,0.478005358223144,0.4388506018115958,0.3416678054437415,0.1144712233841992,0.1227503199305465,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
3,Evolved FSM 16,4.185664160401004,0.5490018148820327,10.0,0.94010889292196,0.3694581280788177,0.1795436868032149,0.2501080286924207,0.2008901564255465,0.6542556091983386,0.3835493116313685,0.5035191164388249,0.3772173599007711,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
4,"DoubleCrosser: (D, D)",4.169197994987469,0.5925157721890935,10.0,0.9609800362976406,0.4542390458905885,0.1382767262985049,0.1976492956529254,0.2098349321579811,0.8480239440511265,0.7391639701824876,0.27907611394187,0.1393546584949852,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
5,Suspicious Tit For Tat,4.054962406015038,0.5007778065854291,10.0,0.0462794918330308,0.3143634949442571,0.1864143116411718,0.2080632616022815,0.2911589318122893,0.9491284710183492,0.0589888947565278,0.9513106920835952,0.0523719112853201,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
6,Tit For Tat,4.04546365914787,0.6023679889378619,6.0,0.9473684210526316,0.4180278281911676,0.1843401607466943,0.1713767176562095,0.2262552934059286,0.9519677027551464,0.0507521749324163,0.9457897754695976,0.0657637376933713,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
7,Cycler DC,4.044135338345864,0.4782646270849537,9.0,0.0535390199637023,0.2047359778757238,0.27352864920923,0.2747385705643418,0.2469968023507044,0.1475379346512736,0.1072891767396959,0.8904894188381942,0.8677545884604493,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
8,Win-Stay Lose-Shift,4.033533834586467,0.5772189093423213,7.0,0.9464609800362976,0.3486301961801054,0.2285887131622158,0.2084953763719644,0.2142857142857142,0.9503296584781252,0.0498463009630946,0.0553483446872524,0.9507448794594974,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
9,Meta Mixer: 18 players,4.02609022556391,0.5153400743237404,10.0,0.6869328493647913,0.2870538415003025,0.2282862328234379,0.224483622850229,0.2601763028260306,0.6157977682961078,0.4058349840138612,0.5972681414019387,0.4077826019462554,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
10,"ZD-Extort-2: 0.1111111111111111, 0.5",4.025588972431078,0.5670210007778066,8.0,0.9528130671506352,0.3884711779448621,0.1785498228329444,0.1677469535908737,0.2652320456313197,0.9216549382589012,0.6941909645347176,0.2553399141431232,0.0543721169020789,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
11,Soft Joss: 0.9,4.017543859649123,0.6479560971394003,4.0,0.943738656987296,0.444991789819376,0.2029643073200242,0.156641604010025,0.1954022988505747,0.9563946064013856,0.1345538382326011,0.95083956674378,0.1520728973575471,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
12,"ZD-GTFT-2: 0.25, 0.5",4.001177944862156,0.6354679802955665,5.5,0.9519056261343012,0.4439979258491055,0.1914700544464609,0.14670296430732,0.2178290553971135,0.9484228165744174,0.4438139407353841,0.5709296457928491,0.127965421756471,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
13,Random: 0.5,3.9992982456140354,0.4987468671679197,9.0,0.5036297640653358,0.2380088151413015,0.2607380520266182,0.2406015037593985,0.2606516290726817,0.505849053302114,0.5054946536919481,0.4933735639186393,0.4925679747727063,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
14,Win-Shift Lose-Stay: D,3.9638596491228073,0.5214761040532365,9.0,0.0508166969147005,0.2181747472128597,0.3033013568403768,0.2470832253046408,0.2314406706421225,0.049703829276826,0.9466026498012646,0.955438938066678,0.0518649728416479,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
15,Bully,3.948195488721805,0.5203958171290295,9.0,0.0490018148820326,0.1810560884971048,0.3393397286319246,0.2689482326505919,0.2106559502203785,0.0569411029003281,0.9559793529545731,0.0705675136079185,0.9514300006304668,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
16,GTFT: 0.33,3.944436090225565,0.7380088151413016,2.0,0.9555353901996372,0.5023334197562872,0.2356753953850142,0.1208625010802869,0.1411286837784115,0.9437738735826976,0.3525986402639884,0.9557161108849112,0.3422968871040925,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
17,Anti Tit For Tat,3.89812030075188,0.5616195661567712,8.0,0.9546279491833032,0.2095324518192031,0.352087114337568,0.2412496759139227,0.1971307579293059,0.0565645200871551,0.9407504713477894,0.0634950490409838,0.947229908790616,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
18,Tit For 2 Tats,3.89561403508772,0.7833376544810302,1.0,0.9500907441016334,0.5591997234465476,0.2241379310344827,0.0762250453720508,0.140437300146919,0.9539000700201844,0.7081775414364574,0.9492419625293096,0.3435327447948877,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
19,Cooperator,3.685413533834588,0.9487079768386484,1.0,0.9519056261343012,0.5851698211044855,0.363538155734163,0.0313715322789732,0.0199204908823783,0.9471976038918732,0.951601750288972,0.9566381210310356,0.963226154586328,4.23,2.63,5.69,3.61,0.05,0.1,58,21,noisy,20,2
0,"DoubleCrosser: (D, D)",3.638131313131321,0.656253332723921,5.0,0.9886039886039886,0.613800143211908,0.042453189512013,0.1051541051541051,0.2385925621219738,0.9449404507714704,0.7946987478282277,0.3589922238615762,0.0132985188172349,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
1,Evolved FSM 16,3.60661021984552,0.5789265201029907,7.0,0.9928774928774928,0.3980681627740451,0.1808583573289455,0.2602876426405838,0.1607858372564255,0.6145846058894036,0.6278971901981741,0.5810124799802756,0.3683740720287803,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
2,Tit For Tat,3.5654159239453422,0.6944939591998416,5.0,0.9886039886039886,0.5895988543047366,0.1048951048951049,0.1066700184347243,0.1988360223654341,0.991131363584428,0.0124576772573768,0.99100566483386,0.0094086009222851,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
3,Soft Joss: 0.9,3.5505614973262096,0.7401008577479166,2.0,0.9928774928774928,0.6113320230967291,0.1287688346511876,0.1030821030821031,0.1568170391699803,0.9914979369985716,0.1126795568633086,0.9933730141908046,0.1022876629945477,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
4,"ZD-GTFT-2: 0.25, 0.5",3.532798573975051,0.7633347045111751,2.0,0.9928774928774928,0.6419778478602008,0.1213568566509743,0.0709813062754239,0.1656839892134009,0.9910046347013416,0.5553523790788051,0.5368898397759141,0.1213253411968662,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
5,Tit For 2 Tats,3.522379679144392,0.8598046833340951,0.0,0.9843304843304844,0.7426908603379192,0.1171138229961759,0.0170178405472523,0.1231774761186526,0.9915108802029154,0.8402881832400484,0.9916882219889211,0.3996406361373414,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
6,GTFT: 0.33,3.521087344028527,0.8150357268004327,1.0,0.9928774928774928,0.6558800676447736,0.1591556591556591,0.0763212822036351,0.1086429909959321,0.9886173783222544,0.335359410686006,0.9926961656351734,0.4217378452145219,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
7,Defector,3.3631580510992354,0.0099715099715099,9.0,0.0056980056980056,0.0023767082590612,0.0075948017124487,0.2280878163231104,0.7619406737053795,0.0722606246799795,0.0130400065105209,0.0097616006405711,0.0099725920368329,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
8,Meta Mixer: 9 players,3.351274509803927,0.4152840623428859,6.0,0.7521367521367521,0.2566692566692566,0.1586148056736292,0.1817115346527111,0.403004403004403,0.6882598684427925,0.2658322136301235,0.6628491735100552,0.1778141181184215,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
9,Win-Shift Lose-Stay: D,3.2206862745098093,0.577974313268431,4.0,0.0156695156695156,0.2227554580495756,0.3552188552188552,0.2267166384813443,0.1953090482502247,0.0116781561547973,0.9897611090364792,0.9875763526971169,0.0115802277046232,3.82,2.04,4.71,2.98,0.01,0.06,78,187,noisy,10,3
0,Grudger,3.590611413043484,0.167859667727112,12.0,0.991869918699187,0.1580726405090138,0.0097870272180982,0.3614185666313185,0.4707217656415694,0.682305294609321,0.0141656622666714,0.0300595551230841,0.009724569062077,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
1,Evolved HMM 5,3.580178894927542,0.4329710144927536,8.0,0.9867886178861788,0.3667318398727465,0.066239174620007,0.3461249558147756,0.2209040296924708,0.8405374421970536,0.3993886637536367,0.1137159809566633,0.1652325481127782,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
2,Evolved FSM 16,3.379257246376816,0.4266635737009544,8.5,0.9898373983739838,0.2757876016260162,0.1508759720749381,0.3667815482502652,0.2065548780487805,0.5316142908148952,0.4907693409608001,0.3990184729437345,0.3570300254356433,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
3,Suspicious Tit For Tat,3.255477807971017,0.5817095263343938,8.0,0.0132113821138211,0.4163352774832096,0.1653742488511841,0.1708918787557441,0.2473985949098621,0.9902942534456388,0.0092695132115735,0.9917254279681252,0.0388926500495989,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
4,Soft Joss: 0.9,3.2471535326086984,0.68773197242842,2.0,0.9908536585365854,0.5009334128667373,0.1867985595616825,0.1543224195828915,0.1579456079886886,0.9910875537951468,0.1081423637909492,0.9888602497522578,0.1047105883746481,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
5,"ZD-Extort-2: 0.1111111111111111, 0.5",3.221974637681161,0.5110573524213503,6.0,0.9939024390243902,0.3501458112407211,0.1609115411806292,0.1545985772357724,0.3343440703428773,0.9618490193965912,0.7906274739998266,0.2693090635378849,0.0105991612457763,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
6,Tit For 2 Tats,3.180527626811597,0.8279151201838105,0.0,0.9928861788617886,0.6255578384588192,0.2023572817249911,0.0450136974195828,0.1270711823966065,0.9903603624631966,0.7745214569058124,0.9910902526453684,0.2834216426220457,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
7,Meta Mixer: 12 players,3.09820652173913,0.4788187080240367,7.0,0.608739837398374,0.2507953340402969,0.2280233739837398,0.2217325026511134,0.2994487893248497,0.5796343022271245,0.4071437229638162,0.5594889839582702,0.4048509251858159,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
8,Random: 0.5,3.0227377717391297,0.5005081300813008,5.0,0.5101626016260162,0.2329665959703075,0.2675415341109933,0.2319061505832449,0.2675857193354542,0.4945676215470811,0.4978814573860121,0.4978922194351402,0.5068219522876413,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
9,Cycler DC,2.996433423913043,0.4999392453163662,5.0,0.0111788617886178,0.213723930717568,0.2862153145987982,0.2542749204665959,0.2457858342170378,0.0512382335111243,0.0450791274118906,0.9566930169911588,0.9380466219765916,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
10,Win-Shift Lose-Stay: D,2.9143319746376832,0.5568111523506539,6.0,0.0101626016260162,0.2334802492046659,0.3233309031459879,0.2372415164369034,0.2059473312124425,0.0101482152587631,0.9893246475105988,0.9908127872964402,0.0122926277750253,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
11,Cooperator,2.8496761775362325,0.9899091993637328,0.0,0.9908536585365854,0.625187787203959,0.3647214121597738,0.0061914545775892,0.0038993460586779,0.9898653012359636,0.990244295244569,0.9895339385586795,0.986116383114431,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
12,Bully,2.771988224637683,0.5670179392011312,5.0,0.0111788617886178,0.175542373630258,0.3914755655708731,0.2531537203958996,0.1798283404029692,0.0109459373494862,0.9744448347492668,0.009968517679726,0.9893943726259214,3.73,1.28,4.11,3.2,0.01,0.09,82,184,noisy,13,4
0,Defector,4.199583333333332,0.1010273972602739,3.0,0.0867579908675799,0.066400304414003,0.0346270928462709,0.573820395738204,0.3251522070015221,0.0904221866754166,0.1253690130094624,0.1034444624545104,0.0827604269807909,3.5,0.89,5.49,2.46,0.1,0.01,73,24,noisy,4,5
1,Cycler DC,3.093611111111111,0.4998097412480974,2.0,0.1050228310502283,0.26617199391172,0.2336377473363774,0.2382039573820395,0.261986301369863,0.1824274319655014,0.2098770561259463,0.7954611143898832,0.8481222859128018,3.5,0.89,5.49,2.46,0.1,0.01,73,24,noisy,4,5
2,Meta Mixer: 3 players,3.058888888888889,0.5043759512937596,1.0,0.3881278538812785,0.2625570776255707,0.2418188736681887,0.2330669710806697,0.2625570776255708,0.4577269577269577,0.5153342466529921,0.5158211691963879,0.5500725928572874,3.5,0.89,5.49,2.46,0.1,0.01,73,24,noisy,4,5
3,Cooperator,2.0272222222222225,0.895738203957382,0.0,0.8812785388127854,0.3268645357686453,0.5688736681887367,0.0338660578386605,0.0703957382039573,0.8758559398209321,0.907736929733036,0.8899498968464487,0.8919387422613229,3.5,0.89,5.49,2.46,0.1,0.01,73,24,noisy,4,5
0,Defector,3.1845701754386004,0.0298245614035087,15.0,0.025,0.0112573099415204,0.0185672514619883,0.387280701754386,0.5828947368421052,0.0817778658525707,0.0390334625117233,0.0307791870970788,0.0315597640466655,3.46,1.44,4.02,2.68,0.03,0.06,24,76,noisy,16,6
1,"DoubleCrosser: (D, D)",3.1804736842105297,0.4069809941520468,9.0,0.9805555555555556,0.3360745614035088,0.070906432748538,0.2460891812865497,0.3469298245614035,0.847399833642181,0.6416693917062081,0.2309463453685616,0.0792531969195561,3.46,1.44,4.02,2.68,0.03,0.06,24,76,noisy,16,6
2,Meta Winner: 14 players,3.176833333333337,0.0688230994152046,14.0,0.95,0.0355994152046783,0.0332236842105263,0.3797514619883041,0.5514254385964912,0.3573397958112828,0.2440178596609067,0.0588101957557943,0.0627660632270024,3.46,1.44,4.02,2.68,0.03,0.06,24,76,noisy,16,6
3,Evolved HMM 5,3.1690877192982487,0.3900950292397661,10.0,0.9694444444444444,0.2805921052631579,0.1095029239766081,0.3007675438596491,0.3091374269005847,0.8179124468907982,0.3591210166021911,0.1155884005341469,0.1701192750802729,3.46,1.44,4.02,2.68,0.03,0.06,24,76,noisy,16,6
4,Tit For Tat,2.9882543859649147,0.5593567251461988,6.0,0.9666666666666668,0.3776681286549707,0.1816885964912281,0.1799342105263157,0.2607090643274853,0.9693884973232838,0.0309591844117164,0.9719470010807298,0.028539508666806,3.46,1.44,4.02,2.68,0.03,0.06,24,76,noisy,16,6
