run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
1,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,19,"Meta Winner: 17 players|Alternator|Evolved FSM 16|Suspicious Tit For Tat|DoubleCrosser: (D, D)|Cooperator|Tit For Tat|Win-Stay Lose-Shift|Cycler DC|Meta Mixer: 17 players|Bully|Evolved HMM 5|Defector|Tit For 2 Tats|Anti Tit For Tat|Random: 0.5|Win-Shift Lose-Stay: D|GTFT: 0.33|Soft Joss: 0.9"
2,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,5,Evolved FSM 16|Win-Stay Lose-Shift|Grudger|Suspicious Tit For Tat|Bully
3,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,14,"Defector|Grudger|Meta Mixer: 13 players|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Evolved FSM 16|GTFT: 0.33|DoubleCrosser: (D, D)|Anti Tit For Tat|Win-Stay Lose-Shift|Bully|Random: 0.5|Cooperator|Soft Joss: 0.9"
4,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,5,Suspicious Tit For Tat|Meta Mixer: 3 players|GTFT: 0.33|Meta Winner: 3 players|Random: 0.5
5,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,16,Meta Mixer: 14 players|Tit For 2 Tats|Grudger|Tit For Tat|Cycler DC|Win-Shift Lose-Stay: D|Evolved HMM 5|Anti Tit For Tat|Alternator|Meta Winner: 14 players|Bully|Win-Stay Lose-Shift|Suspicious Tit For Tat|Random: 0.5|Evolved FSM 16|Cooperator
6,3.99,0.94,4.76,1.06,0.09,0.0,24,175,20,"Win-Shift Lose-Stay: D|GTFT: 0.33|Cooperator|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Bully|Tit For Tat|Alternator|Grudger|Cycler DC|Meta Winner: 18 players|Soft Joss: 0.9|Anti Tit For Tat|Suspicious Tit For Tat|Defector|Evolved HMM 5|Random: 0.5|Tit For 2 Tats|Evolved FSM 16|Meta Mixer: 18 players"
7,3.56,-1.0,5.08,1.06,0.03,0.0,56,79,10,"Anti Tit For Tat|Tit For Tat|Bully|Evolved FSM 16|Random: 0.5|DoubleCrosser: (D, D)|Meta Winner: 9 players|Tit For 2 Tats|Win-Shift Lose-Stay: D|Evolved HMM 5"
8,2.95,-0.47,4.26,1.1,0.09,0.04,37,139,9,"Win-Stay Lose-Shift|Tit For 2 Tats|Grudger|Soft Joss: 0.9|Evolved HMM 5|Anti Tit For Tat|Cooperator|DoubleCrosser: (D, D)|Random: 0.5"
9,3.18,-0.56,4.68,0.46,0.01,0.06,39,18,4,GTFT: 0.33|Bully|Evolved HMM 5|Tit For Tat
10,2.97,0.45,4.56,1.08,0.09,0.06,41,122,16,"Suspicious Tit For Tat|Cooperator|Meta Mixer: 14 players|DoubleCrosser: (D, D)|Grudger|Meta Winner: 14 players|Soft Joss: 0.9|Tit For Tat|Random: 0.5|Alternator|Anti Tit For Tat|GTFT: 0.33|Evolved HMM 5|Defector|Bully|Win-Shift Lose-Stay: D"
