Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
0,"DoubleCrosser: (D, D)",3.421925925925925,0.5416166166166166,16.0,1.0,0.506906906906907,0.03470970970970971,0.25382882882882885,0.20455455455455457,0.9902828191167574,0.772289156626506,0.012605042016806723,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
1,Evolved HMM 5,3.3672499999999994,0.5765515515515516,7.0,1.0,0.5185685685685686,0.05798298298298299,0.25035035035035036,0.17309809809809812,0.9968702262413166,0.46828024072347213,0.016127098321342924,0.19237404353766147,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
2,Meta Winner: 17 players,3.335675925925927,0.0512012012012012,16.0,1.0,0.030680680680680687,0.02052052052052052,0.41774274274274276,0.5310560560560561,0.5471138741426432,0.40477443727171475,0.014402186437615852,0.016745605635411602,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
3,Evolved FSM 16,3.2624907407407395,0.5848348348348348,7.0,1.0,0.4803053053053053,0.10452952952952953,0.2718218218218218,0.14334334334334334,0.8845687435868587,0.5262616805766259,0.19720399047476747,0.3217959978882446,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
4,Defector,3.1945000000000014,0.0,16.0,0.0,0.0,0.0,0.38455955955955956,0.6154404404404404,0.0,0.0,0.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
5,Tit For Tat,2.754444444444443,0.6814564564564565,2.0,1.0,0.5198198198198198,0.1616366366366366,0.15713213213213215,0.1614114114114114,1.0,0.0,1.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
6,Soft Joss: 0.9,2.723277777777776,0.7302052052052052,0.0,1.0,0.5713463463463463,0.15885885885885884,0.12322322322322322,0.14657157157157158,1.0,0.10561401759202008,1.0,0.09133753733169724,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
7,Win-Stay Lose-Shift,2.656212962962962,0.7065065065065065,3.0,1.0,0.5382132132132132,0.1682932932932933,0.12787787787787785,0.16561561561561564,1.0,0.0,0.0,1.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
8,Suspicious Tit For Tat,2.60611111111111,0.5646896896896897,8.0,0.0,0.379054054054054,0.18563563563563562,0.1929179179179179,0.24239239239239238,1.0,0.0,1.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
9,GTFT: 0.33,2.5387870370370353,0.7983483483483483,0.0,1.0,0.6021521521521521,0.1961961961961962,0.08856356356356357,0.11308808808808808,1.0,0.3301129847031207,1.0,0.33418508482862275,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
10,Tit For 2 Tats,2.475453703703702,0.8287537537537537,0.0,1.0,0.6528778778778778,0.1758758758758759,0.034784784784784785,0.1364614614614615,1.0,0.7644008137843789,1.0,0.0,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
11,Meta Mixer: 17 players,2.3627129629629624,0.48783783783783785,10.0,0.6861861861861862,0.24699699699699704,0.2408408408408408,0.22084584584584585,0.2913163163163164,0.5827436819449344,0.41742571428909014,0.5694621633831126,0.397792475528297,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
12,Random: 0.5,2.2376111111111103,0.5031031031031031,8.0,0.4924924924924925,0.22364864864864867,0.27945445445445444,0.22484984984984985,0.2720470470470471,0.5028147972231994,0.4985102833488472,0.49500687291729384,0.5076214121064351,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,standard,19,1
